Entity,Code,Year,Annual CO2 emissions
United States,USA,2000,6010135600
United States,USA,2001,5907739600
United States,USA,2002,5946308000
United States,USA,2003,6010145300
United States,USA,2004,6112655000
United States,USA,2005,6132183000
United States,USA,2006,6052686000
United States,USA,2007,6130123000
United States,USA,2008,5915118600
United States,USA,2009,5480725500
United States,USA,2010,5679715300
United States,USA,2011,5546116000
United States,USA,2012,5344086000
United States,USA,2013,5480156700
United States,USA,2014,5528681000
United States,USA,2015,5376473000
United States,USA,2016,5252932000
United States,USA,2017,5212162000
United States,USA,2018,5377797000
United States,USA,2019,5262145000
United States,USA,2020,4714628000
United States,USA,2021,5032213000
United States,USA,2022,5057303600
